fiware_servicepath,device_status,battery_voltage,entity_type,time_index,co2,temperature,humidity,entity_id,presence,fecha_hora
/rabanales,0.0,3.32,airsense,1619738795000,1069.0,24.04,49.09,atd-airsense007,0.0,2021-04-29 23:26:35
/rabanales,0.0,3.28,airsense,1619785594000,457.0,22.59,38.16,atd-airsense007,0.0,2021-04-30 12:26:34
/rabanales,0.0,3.28,airsense,1619789194000,699.0,22.63,41.46,atd-airsense007,0.0,2021-04-30 13:26:34
/rabanales,0.0,3.48,airsense,1619790885000,488.0,22.85,37.43,atd-airsense008,0.0,2021-04-30 13:54:45
/rabanales,0.0,3.28,airsense,1619790994000,547.0,23.09,36.07,atd-airsense007,0.0,2021-04-30 13:56:34
/rabanales,0.0,3.28,airsense,1619793013000,489.0,22.44,36.83,atd-airsense002,0.0,2021-04-30 14:30:13
/rabanales,0.0,3.46,airsense,1619793386000,479.0,22.47,37.18,atd-airsense003,0.0,2021-04-30 14:36:26
/rabanales,0.0,3.11,airsense,1619793780000,774.0,22.31,41.15,atd-airsense010,0.0,2021-04-30 14:43:00
/rabanales,0.0,3.46,airsense,1619795186000,669.0,22.79,43.44,atd-airsense003,0.0,2021-04-30 15:06:26
/rabanales,0.0,3.11,airsense,1619792880000,709.0,22.3,37.88,atd-airsense010,0.0,2021-04-30 14:28:00
/rabanales,0.0,3.12,airsense,1619799180000,965.0,22.06,49.71,atd-airsense010,0.0,2021-04-30 16:13:00
/rabanales,0.0,3.47,airsense,1619799468000,489.0,22.86,44.48,atd-airsense004,0.0,2021-04-30 16:17:48
/rabanales,0.0,3.46,airsense,1619799885000,479.0,23.15,44.98,atd-airsense008,0.0,2021-04-30 16:24:45
/rabanales,0.0,3.28,airsense,1619799994000,706.0,23.07,46.21,atd-airsense007,0.0,2021-04-30 16:26:34
/rabanales,0.0,3.25,airsense,1619799277000,745.0,22.15,48.2,atd-airsense009,0.0,2021-04-30 16:14:37
/rabanales,0.0,3.47,airsense,1619798085000,705.0,22.45,47.65,atd-airsense008,0.0,2021-04-30 15:54:45
/rabanales,0.0,3.27,airsense,1619798241000,742.0,22.29,47.01,atd-airsense001,0.0,2021-04-30 15:57:21
