fiware_servicepath,device_status,battery_voltage,entity_type,sensor_status,time_index,counter_b,counter_a,total_counter_a,entity_id,total_counter_b,fecha_hora
/rabanales,0.0,3.04,paxpatio,0.0,1616016395000,0.0,0.0,37.0,atdfiware-door-001,38.0,2021-03-17 21:26:35
/rabanales,0.0,3.04,paxpatio,0.0,1616018195000,0.0,0.0,37.0,atdfiware-door-001,38.0,2021-03-17 21:56:35
/rabanales,0.0,3.04,paxpatio,0.0,1616045195000,0.0,0.0,41.0,atdfiware-door-001,44.0,2021-03-18 05:26:35
/rabanales,0.0,3.04,paxpatio,0.0,1616052395000,0.0,3.0,56.0,atdfiware-door-001,56.0,2021-03-18 07:26:35
/rabanales,0.0,3.04,paxpatio,0.0,1616026295000,0.0,0.0,40.0,atdfiware-door-001,43.0,2021-03-18 00:11:35
/rabanales,0.0,3.04,paxpatio,0.0,1616027195000,0.0,0.0,40.0,atdfiware-door-001,43.0,2021-03-18 00:26:35
/rabanales,0.0,3.04,paxpatio,0.0,1616028095000,0.0,0.0,40.0,atdfiware-door-001,43.0,2021-03-18 00:41:35
/rabanales,0.0,3.04,paxpatio,0.0,1616029895000,0.0,0.0,40.0,atdfiware-door-001,43.0,2021-03-18 01:11:35
/rabanales,0.0,3.04,paxpatio,0.0,1616031695000,0.0,0.0,40.0,atdfiware-door-001,43.0,2021-03-18 01:41:35
/rabanales,0.0,3.04,paxpatio,0.0,1616037995000,0.0,0.0,40.0,atdfiware-door-001,43.0,2021-03-18 03:26:35
/rabanales,0.0,3.04,paxpatio,0.0,1616136995000,2.0,3.0,183.0,atdfiware-door-001,195.0,2021-03-19 06:56:35
/rabanales,0.0,3.04,paxpatio,0.0,1616107295000,1.0,1.0,168.0,atdfiware-door-001,178.0,2021-03-18 22:41:35
/rabanales,0.0,3.04,paxpatio,0.0,1616130695000,1.0,1.0,172.0,atdfiware-door-001,182.0,2021-03-19 05:11:35
/rabanales,0.0,3.04,paxpatio,0.0,1616136095000,2.0,0.0,180.0,atdfiware-door-001,193.0,2021-03-19 06:41:35
/rabanales,0.0,3.04,paxpatio,0.0,1616106395000,0.0,0.0,167.0,atdfiware-door-001,177.0,2021-03-18 22:26:35
/rabanales,0.0,3.04,paxpatio,0.0,1616121695000,0.0,0.0,171.0,atdfiware-door-001,181.0,2021-03-19 02:41:35
/rabanales,0.0,3.04,paxpatio,0.0,1616122595000,0.0,0.0,171.0,atdfiware-door-001,181.0,2021-03-19 02:56:35
/rabanales,0.0,3.04,paxpatio,0.0,1616126195000,0.0,0.0,171.0,atdfiware-door-001,181.0,2021-03-19 03:56:35
